list_name,code,label,source_doc
action_taken,1,Loan originated,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,2,Application approved but not accepted,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,3,Application denied,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,4,Application withdrawn by applicant,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,5,File closed for incompleteness,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,6,Purchased loan,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,7,Preapproval request denied,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
action_taken,8,Preapproval request approved but not accepted,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,1,Home purchase,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,2,Home improvement,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,31,Refinancing,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,32,Cash-out refinancing,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,4,Other purpose,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_purpose,5,Not applicable,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_type,1,Conventional,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_type,2,Federal Housing Administration insured,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_type,3,Veterans Affairs guaranteed,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
loan_type,4,USDA Rural Housing or Farm Service Agency guaranteed,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
lien_status,1,Secured by a first lien,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
lien_status,2,Secured by a subordinate lien,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
occupancy_type,1,Principal residence,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
occupancy_type,2,Second residence,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
occupancy_type,3,Investment property,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
construction_method,1,Site-built,https://ffiec.cfpb.gov/documentation/publications/loan-level-datasets/lar-data-fields
